Procedure Type,Target Count,Status Name,Status Target
קוצבים זמניים,10,מבצע,5
קוצבים זמניים,10,משתתף,
צנתור אבחנתי,100,מבצע,20
צנתור אבחנתי,100,משתתף,
צנתור ימני / SG,10,מבצע,5
צנתור ימני / SG,10,משתתף,
צנתור טיפולי,50,משתתף,
הכנסת IABP,5,מבצע,3
הכנסת IABP,5,משתתף,
TAVI,5,משתתף,
אקו,300,מבצע,100
אקו,300,משתתף,
TEE,25,מבצע,5
TEE,25,משתתף,
אקו במאמץ,25,משתתף,
CT,25,משתתף,
MRI,25,משתתף,
מבחני מאמץ,50,מבצע,25
מבחני מאמץ,50,משתתף,
מיפויים,25,משתתף,
השתלת קוצב קבוע,10,מבצע,3
השתלת קוצב קבוע,10,משתתף,
השתלת CRT/ICD,10,משתתף,
אבלציות,15,משתתף,
הולטר,25,מבצע,15
הולטר,25,משתתף,
ניתוח מעקפים,2,משתתף,
ניתוח מסתם,2,משתתף,
