Procedure Type,Target Count,Status Name,Status Target
ברונכוסקופיה גמישה,50,מבצע,
ברונכוסקופיה גמישה,50,מבצע כולל TBB,20
FNA מונחה CT מגידולי ריאה,5,משתתף,
ניתוח חזה (לובקטומיה / טורקוסקופיה),5,משתתף,
הכנסת נקז תוך־חזי,,מבצע,5
תפקודי ריאה (ספירומטריה/נפחים/דיפוזיה),,מבצע,50
תגרים (מטכולין/מאמץ וכו’),,מבצע,20
מבחן מאמץ קרדיו־פולמונרי (CPET),5,משתתף,
מבחן מאמץ קרדיו־פולמונרי (CPET),5,מפענח,
בדיקת מעבדת שינה,5,משתתף,
בדיקת מעבדת שינה,5,מפענח,
אולטרסאונד בית חזה,5,משתתף,
אולטרסאונד בית חזה,5,מפענח,
